store,labels,addr,lng,lat,lnum,label2,label3
CHAR TER SHOPPING CENTER,购物服务;商场;普通商场,安红街,126.60534799999999,45.757039,1,商场,普通商场
百盛,购物服务;商场;普通商场|购物服务;商场;购物中心,中央大街222号,126.617153,45.77896,1,商场,普通商场
华燕奥特莱斯购物中心,购物服务;商场;普通商场,地段街95号华燕购物中心4楼,126.62910500000001,45.770539,1,商场,普通商场
人和春天2期,购物服务;商场;普通商场,地段街与透笼街交叉口西50米,126.62806699999999,45.770024,1,商场,普通商场
汇丽广场D座,购物服务;商场;购物中心,上实路与紫园路交叉口东南100米,126.60551299999999,45.760161,1,商场,购物中心
人和索菲春天(华联商厦店),购物服务;商场;普通商场,石头道街116号华联商厦1层,126.62817700000001,45.770513,1,商场,普通商场
金太阳新天地购物广场,购物服务;商场;普通商场,中央大街158号,126.618384,45.774931,1,商场,普通商场
万达广场(哈尔滨哈西店),购物服务;商场;购物中心,中兴大道168号,126.587052,45.700371000000004,1,商场,购物中心
大世界商城(东大直街),购物服务;商场;普通商场,东大直街323号,126.64402700000001,45.759679999999996,1,商场,普通商场
远大购物中心(果戈里大街店),购物服务;商场;购物中心,果戈里大街378号远大购物中心B1层,126.643703,45.760531,1,商场,购物中心
秋林国际购物中心,购物服务;商场;购物中心,东大直街321号,126.646861,45.760215,1,商场,购物中心
松雷商业(南岗店),购物服务;商场;购物中心,东大直街329号,126.64331399999999,45.758879,1,商场,购物中心
红博广场,购物服务;商场;普通商场,红军街59号,126.642421,45.758839,1,商场,普通商场
新世界百货(花园街),购物服务;商场;购物中心,花园街403号,126.64348000000001,45.755596999999995,1,商场,购物中心
红博会展购物广场,购物服务;商场;购物中心|购物服务;商场;普通商场,红旗大街301号,126.701362,45.755096,1,商场,购物中心
国展正大购物广场,购物服务;商场;购物中心,西大直街40号(近博物馆),126.64113400000001,45.754345,1,商场,购物中心
秋林公司,购物服务;商场;普通商场,果戈里大街361,126.645839,45.760946999999994,1,商场,普通商场
哈西商厦,购物服务;商场;普通商场,中兴大道99号(学府四道街和学府路交口),126.61005,45.704858,1,商场,普通商场
跨越新天地购物广场,购物服务;商场;购物中心,东大直街328号,126.64598500000001,45.759266,1,商场,购物中心
哈特购物广场,购物服务;商场;购物中心,西大直街118号(哈尔滨工大高新技术园区),126.62521699999999,45.741774,1,商场,购物中心
红博中央公园,购物服务;商场;普通商场,红旗大街339号,126.698498,45.757633,1,商场,普通商场
金爵万象商业广场,购物服务;商场;购物中心,中兴左街2号,126.583009,45.698947,1,商场,购物中心
新吉购物中心,购物服务;商场;购物中心,宣化街288号,126.66710900000001,45.761521,1,商场,购物中心
新纪元商城,购物服务;商场;普通商场,西大直街2号,126.641623,45.75677,1,商场,普通商场
红塔时尚中心,购物服务;商场;购物中心,哈西大街299号西城红场B座,126.59349499999999,45.703426,1,商场,购物中心
西城红场生活港,购物服务;商场;购物中心,哈西大街299号,126.593317,45.703049,1,商场,购物中心
大成地下商贸中心,购物服务;商场;普通商场,大成商业街6号口部,126.670929,45.760377,1,商场,普通商场
温馨百货,购物服务;商场;普通商场,文林街2号团购大厦,126.644927,45.738025,1,商场,普通商场
红旗商场,购物服务;商场;普通商场,哈前公路与江南中环路交叉口西50米,126.508611,45.590327,1,商场,普通商场
人和新商城,购物服务;商场;普通商场,果戈里大街与花园街交叉口西北100米,126.64851599999999,45.758452,1,商场,普通商场
革新百货商场,购物服务;商场;普通商场,革新街256号,126.650512,45.746152,1,商场,普通商场
学府体育休闲广场,购物服务;商场;普通商场,学府路副53-13号,126.61294299999999,45.705256,1,商场,普通商场
地一大道人和商城,购物服务;商场;普通商场,东大直街与阿什河街交叉口北50米,126.64703100000001,45.761343,1,商场,普通商场
西城汇,购物服务;商场;普通商场,中兴大道与学府路交叉口西北50米,126.61366100000001,45.70463,1,商场,普通商场
哈尔滨新世界百货商场,购物服务;商场;普通商场,交通街与花园街交叉口西北100米,126.643596,45.755501,1,商场,普通商场
教化广场,购物服务;商场;普通商场,松花江街139号教化电子大世界5楼,126.630131,45.747609999999995,1,商场,普通商场
人和商城(龙江大厦东),购物服务;商场;普通商场,东大直街与龙江街交叉口东50米,126.646745,45.76109,1,商场,普通商场
百汇商城外贸服饰店,购物服务;商场;普通商场,中兴大道百汇商城外贸服饰1-20,126.61343799999999,45.704734,1,商场,普通商场
香港城,购物服务;商场;普通商场,东大直街与燎原街交叉口东50米,126.657119,45.769653,1,商场,普通商场
瑞鹰潮品汇,购物服务;商场;普通商场,学府路74号,126.613335,45.709703999999995,1,商场,普通商场
尚都购物广场,购物服务;商场;购物中心,建设街142号,126.642177,45.760056,1,商场,购物中心
国贸城,购物服务;商场;普通商场,红军街25附近,126.644801,45.757548,1,商场,普通商场
祥泰综合商场,购物服务;商场;普通商场,建筑街54号龙运客运站,126.634079,45.759355,1,商场,普通商场
松雷商业,购物服务;商场;普通商场,建民街2号附近,126.64326000000001,45.759479,1,商场,普通商场
艺汇家城市广场,购物服务;商场;普通商场,南岗开发区红旗大街240号,126.695481,45.752758,1,商场,普通商场
大成商贸中心,购物服务;商场;普通商场,马端街147附近,126.671263,45.763209,1,商场,普通商场
国贸城(大世界写字楼东南),购物服务;商场;普通商场,大世界步行街购物广场附近地下,126.645455,45.760018,1,商场,普通商场
大桥综合商场,购物服务;商场;普通商场,西大直街120-12号,126.62448300000001,45.741318,1,商场,普通商场
567漫天地,购物服务;商场;普通商场,红军街40号,126.64289299999999,45.75651,1,商场,普通商场
苏宁易购广场(哈尔滨哈西店),购物服务;商场;普通商场,哈西大街109号,126.586142,45.699962,1,商场,普通商场
远大购物中心特卖汇,购物服务;商场;购物中心,果戈里大街378号远大购物中心1F层,126.643674,45.76007,1,商场,购物中心
人和新商城(东大直街店),购物服务;商场;普通商场|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,东大直街与建设街交叉口东50米,126.645156,45.759067,1,商场,普通商场
秋林国际购物中心皮草广场(秋林国际购物中心店),购物服务;商场;购物中心|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,东大直街320号秋林国际购物中心2层,126.646507,45.760387,1,商场,购物中心
大成商贸中心,购物服务;商场;普通商场,大成街17-7号,126.670956,45.760213,1,商场,普通商场
文兴综合商场,购物服务;商场;普通商场,文兴街14号(近哈尔滨市师范大学西门),126.62253899999999,45.725484,1,商场,普通商场
松雷(南岗),购物服务;商场;购物中心,东大直街331号,126.643677,45.759297,1,商场,购物中心
凯德广场(学府路),购物服务;商场;购物中心,学府路1-1号,126.608934,45.721167,1,商场,购物中心
龙翔商场,购物服务;商场;普通商场,西大直街120-8号3层,126.624851,45.741739,1,商场,普通商场
