store,labels,addr,lng,lat,lnum,label2,label3
广州服装行,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,河洲街23-4号,126.59290700000001,45.758108,1,服装鞋帽皮具店,服装鞋帽皮具店
连俊内衣,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,买卖街73号,126.631515,45.769490999999995,1,服装鞋帽皮具店,服装鞋帽皮具店
奥卡索,购物服务;服装鞋帽皮具店;品牌鞋店,中央大街48号锦绣商厦1层,126.61985,45.769846,1,服装鞋帽皮具店,品牌鞋店
三彩(新亭街),购物服务;服装鞋帽皮具店;品牌服装店,新亭街16号,126.58559199999999,45.738034000000006,1,服装鞋帽皮具店,品牌服装店
LAGOGO,购物服务;服装鞋帽皮具店;品牌服装店,中央大街100号中央商城4楼,126.618866,45.771915,1,服装鞋帽皮具店,品牌服装店
J&M(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.61634199999999,45.778838,1,服装鞋帽皮具店,品牌鞋店
人和春天购物广场(石头道街店),购物服务;商场;普通商场,地段街与石头道街交叉口东北50米,126.628207,45.771894,1,商场,普通商场
KAILAS(华燕奥特莱斯购物中心),购物服务;体育用品店;户外用品,地段街95号华燕奥特莱斯购物中心F4层,126.629504,45.770562,1,体育用品店,户外用品
铁血君品行(哈尔滨店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,安隆街43号303室(工商银行楼上),126.60668999999999,45.765454,1,服装鞋帽皮具店,服装鞋帽皮具店
她衣柜(安红店),购物服务;服装鞋帽皮具店;品牌服装店,新阳路256号,126.61165700000001,45.753884,1,服装鞋帽皮具店,品牌服装店
goldlion(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心B1层,126.616745,45.779066,1,服装鞋帽皮具店,品牌服装店
三嘉内衣(新阳路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,新阳路附31号(道里房地产管理处东北),126.615648,45.758739,1,服装鞋帽皮具店,服装鞋帽皮具店
安国鞋店,购物服务;服装鞋帽皮具店;品牌服装店,安国街附49号,126.61283999999999,45.763736,1,服装鞋帽皮具店,品牌服装店
BOSIDENG(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F6层,126.616349,45.778566999999995,1,服装鞋帽皮具店,品牌服装店
以纯(上游街),购物服务;服装鞋帽皮具店;品牌服装店,斯大林街道中央大街178号,126.61824399999999,45.775959,1,服装鞋帽皮具店,品牌服装店
7m(凯德广场),购物服务;服装鞋帽皮具店;品牌服装店|购物服务;专卖店;专营店,埃德蒙顿路38号凯德广场F2层,126.593842,45.734612,1,服装鞋帽皮具店,品牌服装店
圣大保罗(凯德广场),购物服务;服装鞋帽皮具店;品牌服装店,埃德蒙顿路38号凯德广场F3层,126.593446,45.734519,1,服装鞋帽皮具店,品牌服装店
三枪(建国街),购物服务;服装鞋帽皮具店;品牌服装店,建国街125号,126.60333500000002,45.751542,1,服装鞋帽皮具店,品牌服装店
乔丹折扣,购物服务;体育用品店;户外用品,中央大街85号锋线运动汇三楼,126.620125,45.772461,1,体育用品店,户外用品
